"","V1"
"173","I only stayed the one night as I was in transit, however all interactions with staff were extremely postive. Requiring an international power adaptor was not am issue and even brought it to my room. From initially checking, breakfast through to helping with my bags and hailing a taxi.   Totally impressed and will be making every effort to choose the Hilton wherever I travel in future.    Please pass in my thanks to all staff in Singapore  Regards    Steve Meurs  Melbourne   Australia "
"174","lots of noises because of construction."
"175","Great location and food. Good sized rooms for central London. Very good value. Executive room had a large bed and a two seater sofa."
"176","We were given an executive room. The decor was a bit tired. However, we have stayed at this hotel previously and the standard room was in excellent condition. Air Conditioning didn't work very well in this room."
"177","Seriously awesome location up on the hills in Bodrum with great view of the city and sea. Lovely pool and staff. Great service. "
"178","Breakfast was great, with loads of choice...but the choice could have been a bit more varied each day, especially in relation to the hot food. Also, as you would expect from a place like this, drinks / food was a lot more expensive than one should reasonably pay - kinda put us off staying there to eat / drink much. On the other hand, it was great to go out in town instead."
"179","Clean beds and good staff"
"180","Carpets in our room not so clean."
"181","Clean beds and good staff"
"182","Carpets in our room not so clean."
"183","Very clean and the staff are very helpfull."
"184","Parking is tricky if you have a large vehicle such as a transit sized van as the hotel parking is height restricted."
"185","Very clean and the staff are very helpfull."
"186","Parking is tricky if you have a large vehicle such as a transit sized van as the hotel parking is height restricted."
"187","Great location - was much closer to the city centre than I realised from looking at the map. Also very close to the Shudehill tram exchange and bus station. Shudehill has a direct line to the Etihad Stadium which was great as we were staying for a concert at the stadium.  24 hours parking opposite the hotel at Total P carpark only £9 if you buy voucher from hotel.  I could see my car from our room.  Would definitely stay at hotel again for a few days break."
